dist,pow,lum
0.023,1.9,31.6
0.024,0,0
0.024,0.1,1.5
0.024,0.2,3.1
0.024,0.3,4.6
0.024,0.4,6.2
0.024,0.5,7.8
0.024,0.6,9.3
0.024,0.7,10.9
0.024,0.8,12.5
0.024,0.9,14.1
0.024,1,15.6
0.024,1.1,17.2
0.024,1.2,18.8
0.024,1.3,20.3
0.024,1.4,21.9
0.024,1.5,23.5
0.024,1.6,25.1
0.024,1.7,26.6
0.024,1.8,28.2
0.024,1.9,29.8
0.025,0,0
0.025,0.1,1.4
0.025,0.2,2.9
0.025,0.3,4.4
0.025,0.4,5.9
0.025,0.5,7.3
0.025,0.6,8.8
0.025,0.7,10.3
0.025,0.8,11.8
0.025,0.9,13.3
0.025,1,14.7
0.025,1.1,16.2
0.025,1.2,17.7
0.025,1.3,19.2
0.025,1.4,20.7
0.025,1.5,22.2
0.025,1.6,23.6
0.025,1.7,25.1
0.025,1.8,26.6
0.025,1.9,28.1
0,2,574.3
0,2.1,584.9
0,2.2,595.1
0,2.3,604.9
0,2.4,614.4
0,2.5,623.7
0,2.6,632.7
0,2.7,641.5
0,2.8,650.2
0,2.9,658.7
0,3,667
0,3.1,675.2
0,3.2,683.3
0,3.3,691.3
0,3.4,699.2
0,3.5,706.9
0,3.6,714.6
0,3.7,722.2
0,3.8,729.7
0,3.9,737.1
0.001,2,445.7
0.001,2.1,455.7
0.001,2.2,464.9
0.001,2.3,474.5
0.001,2.4,483.3
0.001,2.5,491.9
0.001,2.6,500.2
0.001,2.7,508
0.001,2.8,515.5
0.001,2.9,522.8
0.001,3,529.9
0.001,3.1,536.9
0.001,3.2,543.6
0.001,3.3,550.3
0.001,3.4,556.9
0.001,3.5,563.4
0.001,3.6,569.8
0.001,3.7,576.1
0.001,3.8,582.3
0.001,3.9,588.4
0.002,2,357.1
0.002,2.1,368.1
0.002,2.2,378.6
0.002,2.3,388.5
0.002,2.4,397.6
0.002,2.5,406.1
0.002,2.6,414.1
0.002,2.7,421.5
0.002,2.8,428.9
0.002,2.9,436.3
0.002,3,443.4
0.002,3.1,450.3
0.002,3.2,456.9
0.002,3.3,463.4
0.002,3.4,469.5
0.002,3.5,475.4
0.002,3.6,481.1
0.002,3.7,486.7
0.002,3.8,492.2
0.002,3.9,497.7
0.003,2,287.8
0.003,2.1,298.3
0.003,2.2,308.3
0.003,2.3,318
0.003,2.4,327.3
0.003,2.5,336.4
0.003,2.6,345.1
0.003,2.7,353.5
0.003,2.8,361.4
0.003,2.9,369.1
0.003,3,376.1
0.003,3.1,382.9
0.003,3.2,389.2
0.003,3.3,395.3
0.003,3.4,401.3
0.003,3.5,407.2
0.003,3.6,413.1
0.003,3.7,418.8
0.003,3.8,424.4
0.003,3.9,429.8
0.004,2,235.9
0.004,2.1,244.9
0.004,2.2,253.8
0.004,2.3,262.5
0.004,2.4,271
